,name,country,region,rating,rating_count,price,value_for_money,price_category
1251,Prophecy Pinot Grigio 2024,Italy,delle Venezie,3.5,3995,14,0.25,Budget
1275,Brilla Prosecco,Italy,Prosecco,3.9,3916,17,0.23,Budget
1277,Gaja Ca'Marcanda Promis Toscana 2018,Italy,Toscana,4.2,3915,90,0.05,Mid Range
1281,Mosnel Franciacorta Brut,Italy,Franciacorta,3.9,3912,43,0.09,Budget
1290,Nino Negri Quadrio Valtellina Superiore 2021,Italy,Valtellina Superiore,3.7,3898,23,0.16,Budget
1291,La Carraia Sangiovese Umbria 2023,Italy,Umbria,3.6,3897,18,0.2,Budget
1292,Foradori Nosiola Fontanasanta 2024,Italy,Vigneti delle Dolomiti,4.0,3897,70,0.06,Mid Range
1300,Lamole di Lamole Chianti Classico Riserva 1999,Italy,Chianti Classico,3.8,3881,63,0.06,Mid Range
1301,Lamole di Lamole Chianti Classico Riserva 2020,Italy,Chianti Classico,3.8,3881,33,0.12,Budget
1302,Lamole di Lamole Chianti Classico Riserva 2021,Italy,Chianti Classico,3.8,3881,35,0.11,Budget
1313,Feudo Maccari Nero d'Avola 2019,Italy,Sicilia,3.6,3850,20,0.18,Budget
1318,Castello di Albola Chianti Classico Riserva 2022,Italy,Chianti Classico,3.8,3843,29,0.13,Budget
1329,Radikon Jakot 2020,Italy,Friuli-Venezia Giulia,4.2,3828,126,0.03,Premium
1331,PAITIN Barbaresco Sori' Paitin 2022,Italy,Barbaresco,4.1,3827,78,0.05,Mid Range
1334,Abbazia di Novacella (Stiftskellerei Neustift) Pinot Nero 2024,Italy,Südtirol - Alto Adige,3.8,3818,34,0.11,Budget
1336,Tommasi Valpolicella Ripasso (Classico Superiore) 2019,Italy,Valpolicella Ripasso,4.0,3813,28,0.14,Budget
1338,Pighin Pinot Grigio Friuli Grave 2024,Italy,Friuli Grave,3.7,3813,14,0.26,Budget
1350,Gaja Darmagi Langhe 2021,Italy,Langhe,4.5,3796,632,0.01,Premium
1351,Gaja Darmagi Langhe 2022,Italy,Langhe,4.5,3796,731,0.01,Premium
1373,Antinori Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2020,Italy,Chianti Classico,4.3,3744,90,0.05,Mid Range
1379,Pasqua Vigneti e Cantine PassioneSentimento Prosecco,Italy,Prosecco di Treviso,3.8,3737,24,0.16,Budget
1381,Venica & Venica Jesera Pinot Grigio 2024,Italy,Collio,4.1,3732,35,0.12,Budget
1387,Magnifico Rosso Fuoco Primitivo 2024,Italy,Puglia,3.8,3719,23,0.17,Budget
1390,Cavit Collection Moscato 2024,Italy,Trevenezie,4.2,3711,13,0.32,Budget
1399,Cortonesi (La Mannella) La Mannella Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.2,3693,60,0.07,Budget
1401,San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2019,Italy,Primitivo di Manduria,4.3,3687,35,0.12,Budget
1411,Inama Azienda Agricola Bradisismo Veneto Rosso 2021,Italy,Veneto,4.1,3672,51,0.08,Budget
1418,Tenuta Il Poggione Brunello di Montalcino 2017,Italy,Brunello di Montalcino,4.2,3658,70,0.06,Mid Range
1424,Tenuta CastelGiocondo Brunello di Montalcino 2019,Italy,Brunello di Montalcino,4.2,3646,63,0.07,Mid Range
